YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2014,1,JAN,06-01-2014,HungaroControl,ANSP (AUA),411.42,42.97,2.89,18.04,4.31,3.6
2014,1,JAN,06-01-2014,IAA,ANSP (AUA),549.89,37.68,4.62,10.45,8.48,3.6
2014,1,JAN,06-01-2014,LFV,ANSP (AUA),773.60,35.21,6.06,17.31,8.23,3.6
2014,1,JAN,06-01-2014,LGS,ANSP (AUA),177.60,11.51,0.99,5.80,1.87,3.6
2014,1,JAN,06-01-2014,LPS,ANSP (AUA),202.30,25.41,2.34,11.82,3.66,3.6
2014,1,JAN,06-01-2014,LVNL,ANSP (AUA),189.23,30.79,5.81,12.52,12.86,3.6
2014,1,JAN,06-01-2014,M-NAV,ANSP (AUA),29.13,0.63,0.13,0.27,0.11,3.6
2014,1,JAN,06-01-2014,MATS,ANSP (AUA),150.01,3.35,0.11,1.45,0.89,3.6
2014,1,JAN,06-01-2014,MUAC,ANSP (AUA),1429.58,247.06,62.45,133.30,61.13,3.6
2014,1,JAN,06-01-2014,MoldATSA,ANSP (AUA),34.62,1.19,0.02,0.35,0.30,3.6
2014,1,JAN,06-01-2014,NATS (Continental),ANSP (AUA),2521.17,464.01,190.89,213.17,150.80,3.6
2014,1,JAN,06-01-2014,NAV Portugal (Continental),ANSP (AUA),713.73,38.36,4.40,14.03,3.82,3.6
2014,1,JAN,06-01-2014,NAVIAIR,ANSP (AUA),410.40,23.90,4.40,13.05,6.73,3.6
2014,1,JAN,06-01-2014,Oro Navigacija,ANSP (AUA),101.47,3.89,0.40,1.96,0.65,3.6
2014,1,JAN,06-01-2014,PANSA,ANSP (AUA),781.97,48.58,7.21,25.24,12.58,3.6
2014,1,JAN,06-01-2014,ROMATSA,ANSP (AUA),628.05,51.02,2.27,17.41,4.87,3.6
2014,1,JAN,06-01-2014,SMATSA,ANSP (AUA),361.20,25.77,1.90,12.44,1.58,3.6
2014,1,JAN,06-01-2014,Sakaeronavigatsia,ANSP (AUA),140.00,9.21,0.59,3.28,1.88,3.6
2014,1,JAN,06-01-2014,Skyguide,ANSP (AUA),570.87,85.44,23.29,51.01,21.42,3.6
2014,1,JAN,06-01-2014,Slovenia Control,ANSP (AUA),73.38,6.42,0.79,3.87,0.79,3.6
2014,1,JAN,06-01-2014,UkSATSE,ANSP (AUA),863.61,42.84,1.92,16.29,9.57,3.6
2014,1,JAN,07-01-2014,ANS CR,ANSP (AUA),426.01,54.85,7.28,26.91,13.98,3.6
2014,1,JAN,07-01-2014,ARMATS,ANSP (AUA),42.09,1.29,0.10,0.53,0.34,3.6
2014,1,JAN,07-01-2014,Albcontrol,ANSP (AUA),65.54,4.23,0.09,1.45,0.21,3.6
2014,1,JAN,07-01-2014,Austro Control,ANSP (AUA),458.28,46.11,9.34,23.06,12.71,3.6
2014,1,JAN,07-01-2014,Avinor (Continental),ANSP (AUA),621.41,20.95,5.97,10.20,5.76,3.6
2014,1,JAN,07-01-2014,BULATSA,ANSP (AUA),317.31,26.93,2.43,7.37,1.05,3.6
2014,1,JAN,07-01-2014,Belgocontrol,ANSP (AUA),152.38,15.66,5.96,8.30,7.69,3.6
2014,1,JAN,07-01-2014,Croatia Control,ANSP (AUA),313.17,23.74,1.49,11.29,2.47,3.6
2014,1,JAN,07-01-2014,DCAC Cyprus,ANSP (AUA),306.55,22.66,3.35,9.06,2.25,3.6
2014,1,JAN,07-01-2014,DFS,ANSP (AUA),2294.12,309.14,85.39,175.96,98.97,3.6
2014,1,JAN,07-01-2014,DHMI,ANSP (AUA),2083.91,264.55,42.06,92.72,45.58,3.6
2014,1,JAN,07-01-2014,DSNA,ANSP (AUA),3729.74,445.47,73.86,181.87,83.93,3.6
