FLT_DATE,YEAR,MONTH_NUM,MONTH_MON,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2017-01-05,2017.0,1.0,JAN,UkSATSE,ANSP (AUA),282.68,7.84,0.97,2.3489999999999998,0.44,3.13.1
2017-01-05,2017.0,1.0,JAN,skeyes,ANSP (AUA),166.2,19.22,7.23,10.089,5.13,3.13.1
2017-01-06,2017.0,1.0,JAN,ANS CR,ANSP (AUA),538.22,89.25,11.34,40.212,8.52,3.13.1
2017-01-06,2017.0,1.0,JAN,ANS Finland,ANSP (AUA),182.51,4.14,1.01,1.368,0.93,3.13.1
2017-01-06,2017.0,1.0,JAN,ARMATS,ANSP (AUA),28.77,0.72,0.09,0.171,0.04,3.13.1
2017-01-06,2017.0,1.0,JAN,Albcontrol,ANSP (AUA),58.59,3.02,0.11,0.9630000000000001,0.05,3.13.1
2017-01-06,2017.0,1.0,JAN,Austro Control,ANSP (AUA),514.51,49.11,9.39,26.793,6.99,3.13.1
2017-01-06,2017.0,1.0,JAN,Avinor (Continental),ANSP (AUA),593.78,19.43,5.08,8.19,3.57,3.13.1
2017-01-06,2017.0,1.0,JAN,BULATSA,ANSP (AUA),518.16,64.08,3.99,20.808,3.72,3.13.1
2017-01-06,2017.0,1.0,JAN,Croatia Control,ANSP (AUA),340.56,23.45,1.7,12.879000000000001,1.22,3.13.1
2017-01-06,2017.0,1.0,JAN,DCAC Cyprus,ANSP (AUA),301.97,21.41,2.37,8.289000000000001,0.91,3.13.1
2017-01-06,2017.0,1.0,JAN,DFS,ANSP (AUA),2563.28,362.22,94.25,197.316,53.34,3.13.1
2017-01-06,2017.0,1.0,JAN,DHMI,ANSP (AUA),2861.5,594.01,59.11,125.865,37.35,3.13.1
2017-01-06,2017.0,1.0,JAN,DSNA,ANSP (AUA),4728.77,756.42,108.09,309.303,53.83,3.13.1
2017-01-06,2017.0,1.0,JAN,EANS,ANSP (AUA),156.33,7.7,1.02,2.3129999999999997,0.77,3.13.1
2017-01-06,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),2857.12,320.69,34.93,104.805,9.68,3.13.1
2017-01-06,2017.0,1.0,JAN,ENAV,ANSP (AUA),1852.89,124.18,34.64,70.92,12.77,3.13.1
