YEAR;MONTH_NUM;MONTH_MON;FLT_DATE;ENTITY_NAME;ENTITY_TYPE;CPLX_FLIGHT_HRS;CPLX_INTER;VERTICAL_INTER_HRS;HORIZ_INTER_HRS;SPEED_INTER_HRS;BADA_VERSION
2017;1;JAN;05-01-2017;DSNA;ANSP (AUA);4461.81;678.31;100.44;308.63;56.26;3.13.1
2017;1;JAN;05-01-2017;EANS;ANSP (AUA);156.25;8.02;1.20;2.53;0.68;3.13.1
2017;1;JAN;05-01-2017;ENAIRE;ANSP (AUA);2691.99;303.04;34.97;113.14;10.12;3.13.1
2017;1;JAN;05-01-2017;ENAV;ANSP (AUA);1816.34;115.48;33.13;73.83;12.05;3.13.1
2017;1;JAN;05-01-2017;HCAA;ANSP (AUA);926.78;51.96;4.03;21.68;2.49;3.13.1
2017;1;JAN;05-01-2017;HungaroControl;ANSP (AUA);511.71;57.19;3.85;27.88;6.11;3.13.1
2017;1;JAN;05-01-2017;IAA;ANSP (AUA);652.32;35.78;2.63;12.18;2.19;3.13.1
2017;1;JAN;05-01-2017;LFV;ANSP (AUA);794.18;32.04;5.50;17.36;3.51;3.13.1
2017;1;JAN;05-01-2017;LGS;ANSP (AUA);163.02;8.04;0.76;4.13;0.75;3.13.1
2017;1;JAN;05-01-2017;LPS;ANSP (AUA);209.74;26.20;2.58;11.09;2.72;3.13.1
2017;1;JAN;05-01-2017;LVNL;ANSP (AUA);196.11;34.16;5.97;15.64;3.91;3.13.1
2017;1;JAN;05-01-2017;M-NAV;ANSP (AUA);38.13;0.91;0.17;0.45;0.02;3.13.1
2017;1;JAN;05-01-2017;MATS;ANSP (AUA);172.94;4.66;0.26;1.55;0.20;3.13.1
2017;1;JAN;05-01-2017;MOLDATSA;ANSP (AUA);14.10;0.09;0.02;0.04;0.02;3.13.1
2017;1;JAN;05-01-2017;MUAC;ANSP (AUA);1579.90;276.70;61.54;154.74;27.24;3.13.1
2017;1;JAN;05-01-2017;NATS (Continental);ANSP (AUA);2765.07;411.43;146.93;189.10;69.87;3.13.1
2017;1;JAN;05-01-2017;NAV Portugal (Continental);ANSP (AUA);902.98;81.28;8.63;32.49;2.13;3.13.1
2017;1;JAN;05-01-2017;NAVIAIR;ANSP (AUA);395.94;21.54;2.96;12.95;2.28;3.13.1
2017;1;JAN;05-01-2017;Oro Navigacija;ANSP (AUA);125.83;5.38;0.82;2.48;0.52;3.13.1
2017;1;JAN;05-01-2017;PANSA;ANSP (AUA);949.08;57.54;10.47;34.51;8.14;3.13.1
2017;1;JAN;05-01-2017;ROMATSA;ANSP (AUA);760.02;80.27;4.50;31.99;6.86;3.13.1
2017;1;JAN;05-01-2017;SMATSA;ANSP (AUA);443.40;43.80;2.58;22.88;2.47;3.13.1
2017;1;JAN;05-01-2017;Sakaeronavigatsia;ANSP (AUA);123.22;11.72;0.52;4.06;0.56;3.13.1
2017;1;JAN;05-01-2017;Skyguide;ANSP (AUA);563.63;77.58;22.83;47.31;14.41;3.13.1
2017;1;JAN;05-01-2017;Slovenia Control;ANSP (AUA);97.02;9.33;1.03;5.95;0.81;3.13.1
2017;1;JAN;05-01-2017;UkSATSE;ANSP (AUA);282.68;7.84;0.97;2.61;0.44;3.13.1
2017;1;JAN;05-01-2017;skeyes;ANSP (AUA);166.20;19.22;7.23;11.21;5.13;3.13.1
2017;1;JAN;06-01-2017;ANS CR;ANSP (AUA);538.22;89.25;11.34;44.68;8.52;3.13.1
2017;1;JAN;06-01-2017;ANS Finland;ANSP (AUA);182.51;4.14;1.01;1.52;0.93;3.13.1
2017;1;JAN;06-01-2017;ARMATS;ANSP (AUA);28.77;0.72;0.09;0.19;0.04;3.13.1
2017;1;JAN;06-01-2017;Albcontrol;ANSP (AUA);58.59;3.02;0.11;1.07;0.05;3.13.1
2017;1;JAN;06-01-2017;Austro Control;ANSP (AUA);514.51;49.11;9.39;29.77;6.99;3.13.1
2017;1;JAN;06-01-2017;Avinor (Continental);ANSP (AUA);593.78;19.43;5.08;9.10;3.57;3.13.1
2017;1;JAN;06-01-2017;BULATSA;ANSP (AUA);518.16;64.08;3.99;23.12;3.72;3.13.1
2017;1;JAN;06-01-2017;Croatia Control;ANSP (AUA);340.56;23.45;1.70;14.31;1.22;3.13.1
2017;1;JAN;06-01-2017;DCAC Cyprus;ANSP (AUA);301.97;21.41;2.37;9.21;0.91;3.13.1
2017;1;JAN;06-01-2017;DFS;ANSP (AUA);2563.28;362.22;94.25;219.24;53.34;3.13.1
2017;1;JAN;06-01-2017;DHMI;ANSP (AUA);2861.50;594.01;59.11;139.85;37.35;3.13.1
2017;1;JAN;06-01-2017;DSNA;ANSP (AUA);4728.77;756.42;108.09;343.67;53.83;3.13.1
2017;1;JAN;06-01-2017;EANS;ANSP (AUA);156.33;7.70;1.02;2.57;0.77;3.13.1
2017;1;JAN;06-01-2017;ENAIRE;ANSP (AUA);2857.12;320.69;34.93;116.45;9.68;3.13.1
2017;1;JAN;06-01-2017;ENAV;ANSP (AUA);1852.89;124.18;34.64;78.80;12.77;3.13.1
2017;1;JAN;06-01-2017;HCAA;ANSP (AUA);805.32;32.95;3.24;14.21;2.44;3.13.1
2017;1;JAN;06-01-2017;HungaroControl;ANSP (AUA);476.67;48.44;3.90;24.55;5.04;3.13.1
2017;1;JAN;06-01-2017;IAA;ANSP (AUA);686.84;46.51;3.26;13.30;2.34;3.13.1
2017;1;JAN;06-01-2017;LFV;ANSP (AUA);769.01;29.76;5.48;15.96;2.97;3.13.1
2017;1;JAN;06-01-2017;LGS;ANSP (AUA);169.32;8.10;1.04;3.92;0.96;3.13.1
2017;1;JAN;06-01-2017;LPS;ANSP (AUA);202.21;24.97;2.57;11.20;2.57;3.13.1
2017;1;JAN;06-01-2017;LVNL;ANSP (AUA);191.95;30.81;5.13;12.84;3.93;3.13.1
2017;1;JAN;06-01-2017;M-NAV;ANSP (AUA);29.64;0.62;0.13;0.32;0.03;3.13.1
2017;1;JAN;06-01-2017;MATS;ANSP (AUA);184.20;6.85;0.22;2.71;0.27;3.13.1
2017;1;JAN;06-01-2017;MOLDATSA;ANSP (AUA);14.75;0.14;0.01;0.06;0.02;3.13.1
2017;1;JAN;06-01-2017;MUAC;ANSP (AUA);1626.82;292.38;68.73;166.81;28.67;3.13.1
2017;1;JAN;06-01-2017;NATS (Continental);ANSP (AUA);2793.54;444.27;159.09;203.15;68.78;3.13.1
2017;1;JAN;06-01-2017;NAV Portugal (Continental);ANSP (AUA);1025.54;93.81;10.68;32.90;2.05;3.13.1
2017;1;JAN;06-01-2017;NAVIAIR;ANSP (AUA);407.84;23.78;3.80;14.04;2.20;3.13.1
2017;1;JAN;06-01-2017;Oro Navigacija;ANSP (AUA);118.55;4.19;0.53;2.00;0.63;3.13.1
2017;1;JAN;06-01-2017;PANSA;ANSP (AUA);911.20;56.00;9.08;32.21;5.89;3.13.1
2017;1;JAN;06-01-2017;ROMATSA;ANSP (AUA);748.69;72.88;4.70;30.84;7.07;3.13.1
2017;1;JAN;06-01-2017;SMATSA;ANSP (AUA);415.48;35.68;2.22;19.32;1.68;3.13.1
2017;1;JAN;06-01-2017;Sakaeronavigatsia;ANSP (AUA);128.84;14.64;0.73;4.75;0.91;3.13.1
2017;1;JAN;06-01-2017;Skyguide;ANSP (AUA);624.28;98.41;29.65;63.03;16.18;3.13.1
2017;1;JAN;06-01-2017;Slovenia Control;ANSP (AUA);96.93;9.11;1.08;5.81;0.92;3.13.1
2017;1;JAN;06-01-2017;UkSATSE;ANSP (AUA);284.26;7.10;0.72;2.24;0.39;3.13.1
2017;1;JAN;06-01-2017;skeyes;ANSP (AUA);157.95;17.11;5.93;9.42;4.30;3.13.1
2017;1;JAN;07-01-2017;ANS CR;ANSP (AUA);491.64;72.64;8.40;40.14;7.28;3.13.1
2017;1;JAN;07-01-2017;ANS Finland;ANSP (AUA);151.99;2.98;0.56;1.06;0.32;3.13.1
2017;1;JAN;07-01-2017;ARMATS;ANSP (AUA);32.02;0.86;0.10;0.29;0.07;3.13.1
2017;1;JAN;07-01-2017;Albcontrol;ANSP (AUA);63.63;2.80;0.19;0.74;0.12;3.13.1
